bibliography.congress classifications_bibliography.languages_bibliography.title_bibliography.type_metadata.downloads_metadata.id_metadata.rank_bibliography.author.birth_bibliography.author.death_bibliography.author.name_bibliography.publication.day_bibliography.publication.full_bibliography.publication.month_bibliography.publication.month name_bibliography.publication.year_metadata.formats.total_metrics.difficulty.automated readability index_metrics.difficulty.coleman liau index_metrics.difficulty.dale chall readability score_metrics.difficulty.difficult words_metrics.difficulty.flesch kincaid grade_metrics.difficulty.flesch reading ease_metrics.difficulty.gunning fog_metrics.difficulty.linsear write formula_metrics.difficulty.smog index_metrics.sentiments.polarity_metrics.sentiments.subjectivity_metrics.statistics.average letter per word_metrics.statistics.average sentence length_metrics.statistics.average sentence per word_metrics.statistics.characters_metrics.statistics.polysyllables_metrics.statistics.sentences_metrics.statistics.syllables_metrics.statistics.words
PR_en_Pride and Prejudice_Text_36576_1342_1_1775_1817_Austen, Jane_1_June, 1998_6_June_1998_8_10.7_10.73_5.7_9032_7.9_70.13_9.2_13.5_3.1_0.136713377605004_0.522239149470469_4.83_18_0.05_586794_4603_6511_170648.1_121533
PS_en_The Yellow Wallpaper_Text_26363_1952_2_1860_1935_Gilman, Charlotte Perkins_1_November, 1999_11_November_1999_7_7.2_8_6.24_714_5.6_81.63_8_5.5_3.1_0.054174293365013_0.534787426408208_4.41_15_0.06_26769_102_385_7686.9_6067
PZ,PR_en_Alice's Adventures in Wonderland_Text_18882_11_3_1832_1898_Carroll, Lewis_1_March, 1994_3_March_1994_8_9.3_9.39_5.93_2425_6.4_79.6_8.8_14_3.1_0.041078608749446_0.497276367112719_4.65_17_0.06_122719_339_1501_33810.3_26389
PR_en_Frankenstein; Or, The Modern Prometheus_Text_17128_84_4_1797_1851_Shelley, Mary Wollstonecraft_17_June 17, 2008_6_June_2008_7_12.6_10.68_6.44_7884_9.9_65.05_11.2_7_3.1_0.100901536274653_0.539516148755176_4.77_23_0.04_357604_2604_3239_106802.1_74959
PT_en_Metamorphosis_Text_15683_5200_5_1883_1924_Kafka, Franz_16_August 16, 2005_8_August_2005_8_13.8_9.46_6.37_1947_10.3_69.45_12.8_10.5_3.1_0.041996935670927_0.479019215469139_4.56_27_0.04_100372_397_800_28752.3_22022
PS_en_Adventures of Huckleberry Finn_Text_15347_76_6_1835_1910_Twain, Mark_20_August 20, 2006_8_August_2006_8_8.7_8.01_5.59_7087_6_86.03_9.6_2.5_3.1_0.089319258620182_0.474518795163008_4.36_19_0.05_485099_1180_5792_132642.9_111219
PR_en_The Importance of Being Earnest: A Trivial Comedy for Serious People_Text_13638_844_7_1854_1900_Wilde, Oscar_29_August 29, 2006_8_August_2006_7_7_9.89_5.96_2387_4.8_78.25_6_3_3.1_0.100269685142806_0.534784343060185_4.94_10_0.1_101906_555_1994_29187_20625
PZ,PS_en_The Adventures of Tom Sawyer_Text_13237_74_8_1835_1910_Twain, Mark_20_August 20, 2006_8_August_2006_8_8.8_10.15_6.16_7974_5.6_81.63_8_4.5_3.1_0.064761078295623_0.487048443781586_4.78_15_0.06_338075_1488_4594_92593.8_70796
E300_en_Narrative of the Life of Frederick Douglass, an American Slave_Text_12794_23_9_1818_1895_Douglass, Frederick_10_January 10, 2006_1_January_2006_7_10.5_9.86_6.48_4894_8.3_69.11_9.6_7_3.1_0.093878135840458_0.507429646087501_4.68_19_0.05_190493_1226_2062_55913.4_40740
PT_en_A Doll's House : a play_Text_11625_2542_10_1828_1906_Ibsen, Henrik_1_March, 2001_3_March_2001_7_5.3_7.98_5.53_2342_3.7_86.71_6_4_3.1_0.026261727941189_0.580521507992437_4.61_10_0.1_121943_378_2624_33722.1_26466
PS_en_Moby Dick; Or, The Whale_Text_11270_2701_11_1819_1891_Melville, Herman_1_June, 2001_6_June_2001_7_13.4_11.55_6.5_23167_9.9_65.05_11.2_11_3.1_0.082286453463764_0.478049261337892_4.92_23_0.04_1043045_6639_9104_294744.6_212099
PR_en_The Adventures of Sherlock Holmes_Text_11125_1661_12_1859_1930_Doyle, Arthur Conan_14_October 14, 1892_10_October_1892_8_8.2_9.1_5.81_9148_6_80.62_8.4_2.5_3.1_0.062591437974394_0.486681847387159_4.6_16_0.06_480294_1978_6522_137215.8_104488
PR_en_Great Expectations_Text_11068_1400_13_1812_1870_Dickens, Charles_1_July, 1998_7_July_1998_8_9.9_9.34_5.8_14224_7.2_77.57_9.6_7.5_3.1_0.077983684858309_0.49062423531283_4.59_19_0.05_845501_4088_9487_240762.6_184398
PR_en_Ulysses_Text_10568_4300_14_1882_1941_Joyce, James_1_July, 2003_7_July_2003_7_8.6_10.84_6.35_34649_6_75.2_7.2_6_3.1_0.071230357887247_0.46306693286287_4.95_13_0.07_1311231_7005_19726_363292.2_264835
PR_en_A Tale of Two Cities_Text_10312_98_15_1812_1870_Dickens, Charles_1_January, 1994_1_January_1994_8_10.3_10.44_6_12613_6.8_78.59_9.2_56_3.1_0.078066102045658_0.490453205571702_4.78_18_0.05_649070_3256_7396_183016.8_135820
PR_en_A Modest Proposal: For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick_Text_10014_1080_16_1667_1745_Swift, Jonathan_1_October 1997_10_October_1997_6_26.6_11.91_9.24_674_20.4_37.65_22_18_8.8_0.175691458503959_0.506458345520845_4.88_50_0.02_16656_86_68_4864.5_3410
PR_en_Dracula_Text_9852_345_17_1847_1912_Stoker, Bram_16_August 16, 2013_8_August_2013_9_8.8_8.3_5.65_11445_6.8_78.59_9.2_18_3.1_0.075270589540311_0.503039209763264_4.41_18_0.05_708335_2338_8522_202932.9_160693
JC_en_The Prince_Text_9690_1232_18_1469_1527_Machiavelli, Niccolo_11_February 11, 2006_2_February_2006_7_20.6_11.33_7.23_5367_15.8_49.83_17.2_6.5_8.8_0.146546817780413_0.520413361246458_4.83_38_0.03_239378_1905_1287_71705.7_49525
PR_en_The Picture of Dorian Gray_Text_9681_174_19_1854_1900_Wilde, Oscar_9_June 9, 2008_6_June_2008_7_6.7_8.69_5.74_7523_4.4_84.68_6.8_4.5_3.1_0.069913819649899_0.545897334130377_4.63_12_0.08_365606_1647_6234_105003.9_78920
PG_en_War and Peace_Text_9580_2600_20_1828_1910_Tolstoy, Leo, graf_1_January 1, 1870_1_January_1870_7_10.8_11.14_5.36_29647_7.9_70.13_9.2_53_3.1_0.08206641711734_0.474015115582443_4.9_18_0.05_2759940_16369_30757_787942.8_563029
PT_en_Grimms' Fairy Tales_Text_9016_2591_21_1786_1859_Grimm, Wilhelm_1_April, 2001_4_April_2001_8_10.5_8.01_1.91_4955_7.5_81.97_11.2_13_3.1_0.106611174647935_0.484139715862806_4.31_23_0.04_435880_394_4355_121229.1_101107
HQ_en_The Kama Sutra of Vatsyayana: Translated From the Sanscrit in Seven Parts With Preface, Introduction and Concluding Remarks_Text_8559_27827_22_0_0_Vatsyayana_18_January 18, 2009_1_January_2009_8_13.5_10.91_6.36_5708_10.3_64.04_11.6_6_3.1_0.131070129536114_0.464220650999431_4.81_24_0.04_283286_1464_2397_81087.3_58912
PR_en_Emma_Text_8513_158_23_1775_1817_Austen, Jane_1_August, 1994_8_August_1994_8_9.6_10.26_5.68_12447_7.2_72.16_8.4_18_3.1_0.157109182497322_0.542307345002758_4.8_16_0.06_755056_4851_9348_216434.7_157439
PR_en_Beowulf: An Anglo-Saxon Epic Poem_Text_8199_16328_24_0_0_Unknown_19_July 19, 2005_7_July_2005_8_13.3_14.03_7.5_7311_7.9_70.13_9.2_8_3.1_0.137128603616211_0.537179013275995_5.45_18_0.06_211970_900_2142_54235.8_38925
PQ_en_Les Misérables_Text_7900_135_25_1802_1885_Hugo, Victor_22_June 22, 2008_6_June_2008_5_10.2_11.02_5.51_38795_7.2_72.16_8.4_6.5_3.1_0.077755922592066_0.494210060487325_4.93_16_0.06_2783024_17239_33543_790112.7_565071
PR_en_The Romance of Lust: A Classic Victorian erotic novel_Text_7458_30254_26_0_0_Anonymous_14_October 14, 2009_10_October_2009_8_12.9_9.93_5.68_10266_10.3_64.04_11.6_7_3.1_0.191171161846855_0.546651448065767_4.64_24_0.04_876698_4879_7588_256281.3_188911
PR_en_Jane Eyre: An Autobiography_Text_7449_1260_27_1816_1855_Bronte, Charlotte_29_April 29, 2007_4_April_2007_6_10.4_10.1_6.17_18723_8.3_69.11_9.6_8.5_3.1_0.08411398861452_0.502561130287383_4.72_19_0.05_876153_4697_9674_250376.4_185452
PS_en_Leaves of Grass_Text_6899_1322_28_1819_1892_Whitman, Walt_1_May, 1998_5_May_1998_6_19.1_12.25_7.34_15547_14.2_53.89_15.6_26_3.1_0.144744905741279_0.507637808916326_4.99_34_0.03_607831_2727_3570_165151.8_121711
PR_en_Dubliners_Text_6879_2814_29_1882_1941_Joyce, James_1_September, 2001_9_September_2001_6_8_9.21_6_7147_5.2_82.65_7.6_17_3.1_0.068094929240744_0.472371205835949_4.67_14_0.07_315667_1148_4530_88344_67546
PR_en_Sense and Sensibility_Text_6503_161_30_1775_1817_Austen, Jane_25_May 25, 2008_5_May_2008_8_12.3_10.85_5.9_9203_9.1_67.08_10.4_13.5_3.1_0.131879813586973_0.532545130961345_4.85_21_0.05_574844_3913_5447_167003.1_118578
JC_en_Leviathan_Text_6411_3207_31_1588_1679_Hobbes, Thomas_1_May, 2002_5_May_2002_7_20.6_11.56_6.72_16169_15.8_49.83_17.2_11_8.8_0.116167826977523_0.464300383111618_4.87_38_0.03_1038638_7741_5581_305930.7_213304
PR_en_The Strange Case of Dr. Jekyll and Mr. Hyde_Text_6410_42_32_1850_1894_Stevenson, Robert Louis_1_October, 1992_10_October_1992_7_11_9.63_6.82_3485_7.9_75.54_10.4_7.5_3.1_0.067879337649934_0.487717355652205_4.64_21_0.05_119352_545_1215_34174.8_25740
PR,PZ_en_Treasure Island_Text_6396_120_33_1850_1894_Stevenson, Robert Louis_25_February 25, 2006_2_February_2006_8_9.2_8.88_5.96_6192_6.8_78.59_9.2_18_3.1_0.07407747334028_0.473504718001007_4.51_18_0.05_307677_782_3625_85782.6_68267
PR_en_Wuthering Heights_Text_6237_768_34_1818_1848_Bronte, Emily_19_April 19, 2007_4_April_2007_7_9.9_10.09_6.07_11639_6.4_79.6_8.8_5_3.1_0.045854895165102_0.510068286883796_4.77_17_0.06_552364_2750_6524_156315.6_115874
PR_en_Heart of Darkness_Text_5875_219_35_1857_1924_Conrad, Joseph_1_February 1995_2_February_1995_7_9_9.8_6.68_5407_7.2_72.16_8.4_13_3.1_0.049013196300888_0.502618229822038_4.72_16_0.06_178939_1128_2309_51631.2_37902
PQ_en_The Count of Monte Cristo, Illustrated_Text_5861_1184_36_1802_1870_Dumas, Alexandre_1_January, 1998_1_January_1998_7_10.8_11.14_5.51_28477_7.9_70.13_9.2_13.5_3.1_0.093241946098295_0.497536471811821_4.9_18_0.05_2248795_13018_25116_638292.6_459021
PR_en_Gulliver's Travels into Several Remote Nations of the World_Text_5752_829_37_1667_1745_Swift, Jonathan_15_June 15, 2009_6_June_2009_6_19.3_10.63_6.89_9363_15.4_50.84_16.8_4_8.8_0.11480158865025_0.476622898731208_4.71_37_0.03_491558_2822_2818_144955.8_104293
PS_en_The Awakening, and Selected Short Stories_Text_5702_160_38_1850_1904_Chopin, Kate_11_March 11, 2006_3_March_2006_7_8.8_10.08_6.1_6963_6.8_73.17_8_18.5_3.1_0.095837806805444_0.482349563238395_4.82_15_0.07_308607_1688_4264_87984_63991
PZ,PR_en_Peter Pan_Text_5657_16_39_1860_1937_Barrie, J. M. (James Matthew)_1_July, 1991_7_July_1991_7_8.2_9.34_5.91_4608_5.6_81.63_8_12.5_3.1_0.090821857069801_0.524341686920635_4.64_15_0.06_220012_686_3054_60405.3_47437
PT_en_Siddhartha_Text_5483_2500_40_1877_1962_Hesse, Hermann_6_April 6, 2008_4_April_2008_8_11.5_10.04_6.08_3481_9.1_67.08_10.4_17_3.1_0.157482464377399_0.512986519768885_4.71_21_0.05_184183_817_1820_52859.7_39139
PA,JC_en_The Republic_Text_5360_1497_41_-428_-348_Plato_1_October, 1998_10_October_1998_7_14.3_10.45_6.01_14787_11.1_62.01_12.4_14_3.1_0.143131080397776_0.521514817044117_4.73_26_0.04_1022560_7886_8025_302949.9_216169
E300_en_Autobiography of Benjamin Franklin_Text_5169_20203_42_1706_1790_Franklin, Benjamin_28_December 28, 2006_12_December_2006_9_15.7_11.38_6.89_8971_11.8_59.98_13.2_7.5_8.8_0.143495071131844_0.466956010372587_4.89_28_0.04_371844_2885_2699_106481.7_75983
PR_en_The Life and Adventures of Robinson Crusoe_Text_5140_521_43_0_1731_Defoe, Daniel_6_April 6, 2010_4_April_2010_7_24_8.55_7_6734_19.3_46.11_22_7.5_3.1_0.105300213939555_0.476918036839501_4.3_50_0.02_519352_2113_2396_153371.7_120813
PR_en_Songs of Innocence, and Songs of Experience_Text_5115_1934_44_1757_1827_Blake, William_25_December 25, 2008_12_December_2008_7_11.2_10.68_6.52_690_6_86.03_9.6_13.5_3.1_0.137048742907976_0.512544555949102_4.82_19_0.05_27028_24_283_6803.1_5602
PQ_en_Essays of Michel de Montaigne — Complete_Text_5056_3600_45_1533_1592_Montaigne, Michel de_17_September 17, 2006_9_September_2006_8_20.5_11.09_6.61_36163_15.8_49.83_17.2_11_8.8_0.143395940038925_0.525346138799003_4.79_38_0.03_2518187_17948_13566_745985.7_525749
PQ_en_The Divine Comedy by Dante, Illustrated_Text_4973_8800_46_1265_1321_Dante Alighieri_1_September, 2005_9_September_2005_8_13.9_11.09_6.62_12004_9.5_71.48_12_26.5_3.1_0.108512356813942_0.494424834318311_4.84_25_0.04_525296_931_4318_138464.1_108513
PR_en_A Christmas Carol in Prose; Being a Ghost Story of Christmas_Text_4741_46_47_1812_1870_Dickens, Charles_11_August 11, 2004_8_August_2004_9_9.4_10.21_6.46_3668_6_80.62_8.4_13_3.1_0.102971322609116_0.499460884444913_4.79_16_0.06_136753_450_1716_37429.2_28541
PR_en_A Study in Scarlet_Text_4703_244_48_1859_1930_Doyle, Arthur Conan_1_April, 1995_4_April_1995_8_9_9.8_6.4_5471_7.2_72.16_8.4_11_3.1_0.069199426165169_0.475096710373687_4.72_16_0.06_207047_1127_2669_59502.6_43863
PR_en_The Jungle Book_Text_4526_236_49_1865_1936_Kipling, Rudyard_16_January 16, 2006_1_January_2006_7_8.8_8.7_5.86_4450_5.2_88.06_8.8_9_3.1_0.037400991636022_0.454563742510031_4.53_17_0.06_230331_484_2873_63501.3_50835
PG_en_Crime and Punishment_Text_4483_2554_50_1821_1881_Dostoyevsky, Fyodor_28_March 28, 2006_3_March_2006_8_7.9_9.79_5.39_14257_6_75.2_7.2_8_3.1_0.046716302142544_0.503362543913968_4.77_13_0.07_971506_7095_14828_278055.9_203492
PA_en_The Iliad_Text_4443_6130_51_-750_-650_Homer_1_September 2006_9_September_2006_11_14.7_12.31_6.17_16082_9.1_72.5_11.6_5.5_3.1_0.109709392889062_0.522685410961793_5.05_24_0.04_957200_2876_7692_252473.4_189422
B_en_Beyond Good and Evil_Text_4347_4363_52_1844_1900_Nietzsche, Friedrich Wilhelm_1_August, 2003_8_August_2003_7_21_13.94_7.92_10092_16.9_35.95_16_11_11.2_0.112327848093617_0.53304170840983_5.28_35_0.03_330833_4344_1779_97875.9_62652
PQ_en_Candide_Text_4339_19942_53_1694_1778_Voltaire_27_November 27, 2006_11_November_2006_8_11.4_11.02_6.78_4984_8.3_69.11_9.6_10.5_3.1_0.146044042421317_0.507395048353095_4.88_19_0.05_174417_972_1815_49873.5_35756
TJ_en_Steam, Its Generation and Use_Text_4297_22657_54_0_0_Babcock & Wilcox Company_18_September 18, 2007_9_September_2007_9_14.8_15.14_5.54_8281_8.3_69.11_9.6_5.5_8.8_0.06752817391808_0.437560157587464_5.59_19_0.05_760404_8364_6885_189327.6_135920
PR_en_Pygmalion_Text_4287_3825_55_1856_1950_Shaw, Bernard_1_March, 2003_3_March_2003_6_7.5_9.9_6.13_4041_4.4_84.68_6.8_6.5_3.1_0.072260047964078_0.508371020619425_4.84_12_0.08_162315_877_2747_45265.5_33552
PR_en_The Complete Works of William Shakespeare_Text_4166_100_56_1564_1616_Shakespeare, William_1_January, 1994_1_January_1994_6_7.9_9.62_5.15_45905_5.2_82.65_7.6_52_3.1_0.161229500842701_0.531949440147113_4.74_14_0.07_4183870_10391_62662_1138463.1_882996
PR_en_Oliver Twist_Text_4066_730_57_1812_1870_Dickens, Charles_1_November, 1996_11_November_1996_6_10.5_10.67_5.85_13659_6.4_79.6_8.8_27.5_3.1_0.085244671956116_0.493086691605295_4.87_17_0.06_768704_3916_8818_212969.7_157966
PR_en_Heart of Darkness_Text_3957_526_58_1857_1924_Conrad, Joseph_9_January 9, 2006_1_January_2006_6_9_9.8_6.68_5410_7.2_72.16_8.4_13_3.1_0.048655165434632_0.503138854787684_4.72_16_0.06_179060_1128_2309_51667.2_37926
PR_en_English Literature: Its History and Its Significance for the Life of the English-Speaking World_Text_3933_10609_59_1867_1952_Long, William J. (William Joseph)_6_January 6, 2004_1_January_2004_8_15_13.12_6.31_20473_11.1_56.59_11.2_19_8.8_0.161227693729917_0.474282465087871_5.19_23_0.04_1095489_9421_8806_313941.6_210885
PS_en_An Occurrence at Owl Creek Bridge_Text_3850_375_60_1842_1913_Bierce, Ambrose_19_March 19, 2008_3_March_2008_7_10.8_10.91_7.65_740_7.9_70.13_9.2_10.5_3.1_0.053193183934709_0.477415350186537_4.86_18_0.05_18193_102_200_5162.4_3744
JC_en_Second Treatise of Government_Text_3842_7370_61_1632_1704_Locke, John_1_January, 2005_1_January_2005_7_27.9_10.98_7.64_4737_22_33.59_23.6_7_8.8_0.128268727846841_0.501006412730801_4.72_54_0.02_266846_2015_1043_80451_56543
BS_en_The King James Version of the Bible_Text_3776_10_62_0_0_Unknown_2_March 2, 2011_3_March_2011_7_13.6_9.06_1.74_20764_9.1_77.91_12.8_7.5_3.1_0.115735265895645_0.51570964358104_4.49_27_0.04_3684178_9815_29667_991401.3_821130
HQ_en_My Secret Life, Volumes I. to III.: 1888 Edition_Text_3765_30360_63_0_0_Anonymous_1_January 1, 1888_1_January_1888_8_8_7.72_5.41_14622_6.8_78.59_9.2_8.5_3.1_0.04672881965553_0.466857440464287_4.31_18_0.05_1124639_3737_14292_328711.5_260851
PZ,PS_en_The Wonderful Wizard of Oz_Text_3704_55_64_1856_1919_Baum, L. Frank (Lyman Frank)_1_July 1, 2008_7_July_2008_7_8.7_8.47_5.48_2376_5.6_87.05_9.2_1.5_3.1_0.122912095212494_0.517479858012894_4.44_18_0.05_175909_205_2152_49077.9_39588
